car,corner,stint,C,age,grip,lt
VER,0,1,2,13.0,2.1077079572615367,98.689
VER,1,1,2,13.0,1.7639741535713782,98.689
VER,2,1,2,13.0,1.9476631587158209,98.689
VER,3,1,2,13.0,1.2922250774508783,98.689
VER,4,1,2,13.0,1.8834120801936605,98.689
VER,5,1,2,13.0,1.2052514229763158,98.689
VER,6,1,2,13.0,0.8756435467541909,98.689
VER,7,1,2,13.0,1.7088211199490349,98.689
VER,8,1,2,13.0,1.5444145702516547,98.689
VER,9,1,2,13.0,1.5444145702516547,98.689
VER,10,1,2,13.0,1.4281761903963783,98.689
VER,0,1,2,14.0,0.7215588034834957,119.754
VER,1,1,2,14.0,0.9418471599407948,119.754
VER,2,1,2,14.0,2.0785593804848737,119.754
VER,3,1,2,14.0,1.2025205016760043,119.754
VER,4,1,2,14.0,0.9307381932302226,119.754
VER,5,1,2,14.0,0.6244319576783786,119.754
VER,6,1,2,14.0,0.5539103051142392,119.754
VER,7,1,2,14.0,1.7318365575810781,119.754
VER,8,1,2,14.0,0.9536665975912376,119.754
VER,9,1,2,14.0,0.9536665975912376,119.754
VER,10,1,2,14.0,1.3356429361758262,119.754
VER,0,1,2,15.0,2.672711008298281,98.373
VER,1,1,2,15.0,0.947798107242958,98.373
VER,2,1,2,15.0,2.8218795703815633,98.373
VER,3,1,2,15.0,2.333680947389856,98.373
VER,4,1,2,15.0,2.3751885792431047,98.373
VER,5,1,2,15.0,1.4667571345256492,98.373
VER,6,1,2,15.0,0.9166569318770489,98.373
VER,7,1,2,15.0,1.440292724900132,98.373
VER,8,1,2,15.0,1.0689633839458572,98.373
VER,9,1,2,15.0,1.0689633839458572,98.373
VER,10,1,2,15.0,1.492639965363648,98.373
VER,0,2,2,2.0,2.727121013216593,97.399
VER,1,2,2,2.0,1.926536068450348,97.399
VER,2,2,2,2.0,1.6020735501761716,97.399
VER,3,2,2,2.0,1.8701555841111648,97.399
VER,4,2,2,2.0,2.05777394271987,97.399
VER,5,2,2,2.0,1.582955300292493,97.399
VER,6,2,2,2.0,1.2700972230720569,97.399
VER,7,2,2,2.0,1.820641799219733,97.399
VER,8,2,2,2.0,1.5721737621225873,97.399
VER,9,2,2,2.0,1.5721737621225873,97.399
VER,10,2,2,2.0,1.6626726087455548,97.399
VER,0,2,2,3.0,2.2890129346335524,97.769
VER,1,2,2,3.0,2.037329965957583,97.769
VER,2,2,2,3.0,2.106562627294986,97.769
VER,3,2,2,3.0,1.6859734746139823,97.769
VER,4,2,2,3.0,1.1492660772402046,97.769
VER,5,2,2,3.0,1.3266626996822006,97.769
VER,6,2,2,3.0,0.9982657484364801,97.769
VER,7,2,2,3.0,1.5013371406308906,97.769
VER,8,2,2,3.0,1.6913942400679742,97.769
VER,9,2,2,3.0,1.6913942400679742,97.769
VER,10,2,2,3.0,1.6745330131947218,97.769
VER,0,2,2,4.0,2.5712215745579683,97.344
VER,1,2,2,4.0,1.9578291340266585,97.344
VER,2,2,2,4.0,1.3867203832079202,97.344
VER,3,2,2,4.0,1.210368701660925,97.344
VER,4,2,2,4.0,1.8486314955217957,97.344
VER,5,2,2,4.0,1.3671386491314534,97.344
VER,6,2,2,4.0,0.8973107636916652,97.344
VER,7,2,2,4.0,2.188885918670625,97.344
VER,8,2,2,4.0,1.699093500975397,97.344
VER,9,2,2,4.0,1.699093500975397,97.344
VER,10,2,2,4.0,2.2966355837015358,97.344
VER,0,2,2,5.0,2.991120807078952,97.565
VER,1,2,2,5.0,1.5481211407743098,97.565
VER,2,2,2,5.0,2.3791168261277638,97.565
VER,3,2,2,5.0,2.0136499107241335,97.565
VER,4,2,2,5.0,2.2691427194652802,97.565
VER,5,2,2,5.0,1.4172922119067275,97.565
VER,6,2,2,5.0,0.8006826608048542,97.565
VER,7,2,2,5.0,1.7566543471446734,97.565
VER,8,2,2,5.0,1.6794456287257469,97.565
VER,9,2,2,5.0,1.6794456287257469,97.565
VER,10,2,2,5.0,1.202700219225176,97.565
VER,0,2,2,6.0,2.3228840936058988,97.592
VER,1,2,2,6.0,1.8770336901720779,97.592
VER,2,2,2,6.0,2.435649690610761,97.592
VER,3,2,2,6.0,1.5365813327040383,97.592
VER,4,2,2,6.0,2.5927218664420364,97.592
VER,5,2,2,6.0,1.381920243426376,97.592
VER,6,2,2,6.0,1.0509651310241177,97.592
VER,7,2,2,6.0,1.7261663419187088,97.592
VER,8,2,2,6.0,1.2627675911191332,97.592
VER,9,2,2,6.0,1.2627675911191332,97.592
VER,10,2,2,6.0,1.3947613549415214,97.592
VER,0,2,2,7.0,2.334235699711361,97.722
VER,1,2,2,7.0,1.9769826847961012,97.722
VER,2,2,2,7.0,2.393453667816693,97.722
VER,3,2,2,7.0,1.6702338835761468,97.722
